Símbolo,Timeframe,Tendencia,RSI,Soportes,Resistencias
6E=F,4h,bearish,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    30.165611
2025-11-18 01:00:00    36.501922
2025-11-18 05:00:00    29.961223
2025-11-18 09:00:00    33.189806
2025-11-18 13:00:00    22.111203
Name: Close, Length: 136, dtype: float64","[1.148800015449524, 1.1604250073432922]","[1.1612999439239502, 1.1700125336647034]"
6E=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    46.591525
2025-11-18 11:00:00    44.705321
2025-11-18 12:00:00    49.461594
2025-11-18 13:00:00    56.700752
2025-11-18 14:00:00    62.106267
Name: Close, Length: 116, dtype: float64",[1.1594875156879425],[1.166218787431717]
6E=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    62.366363
2025-11-18 13:45:00    68.235624
2025-11-18 14:00:00    66.266410
2025-11-18 14:15:00    67.857852
2025-11-18 14:30:00    68.235624
Name: Close, Length: 155, dtype: float64",[1.16068746894598],[1.1634296961128712]
6J=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    32.191719
2025-11-13    35.563426
2025-11-14    34.843192
2025-11-17    24.390260
2025-11-18    31.481440
Name: Close, Length: 129, dtype: float64","[0.0064409999176859856, 0.006527999881654978]","[0.0068564999382942915, 0.006891000084578991]"
6J=F,4h,bearish,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    36.554701
2025-11-18 01:00:00    41.767247
2025-11-18 05:00:00    37.603522
2025-11-18 09:00:00    38.396881
2025-11-18 13:00:00    15.054226
Name: Close, Length: 136, dtype: float64","[0.006460249889642, 0.0065009999088943005]","[0.006529000122100115, 0.006567500066012144]"
6J=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    41.176342
2025-11-18 11:00:00    39.285754
2025-11-18 12:00:00    52.941445
2025-11-18 13:00:00    54.000037
2025-11-18 14:00:00    47.748058
Name: Close, Length: 116, dtype: float64",[0.006470374995842576],[0.006520687573356554]
6J=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    57.142224
2025-11-18 13:45:00    56.250000
2025-11-18 14:00:00    57.143068
2025-11-18 14:15:00    60.000000
2025-11-18 14:30:00    54.098536
Name: Close, Length: 155, dtype: float64",[0.0064661874785088],[0.006486906408099458]
6B=F,1d,flat,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    33.726811
2025-11-13    41.009480
2025-11-14    36.102314
2025-11-17    39.858925
2025-11-18    49.779700
Name: Close, Length: 129, dtype: float64","[1.3009999990463257, 1.3148000240325928]","[1.357699990272522, 1.3749500513076782]"
6B=F,4h,bearish,"Datetime
2025-10-19 20:00:00          NaN
2025-10-20 00:00:00          NaN
2025-10-20 04:00:00          NaN
2025-10-20 08:00:00          NaN
2025-10-20 12:00:00          NaN
                         ...    
2025-11-17 21:00:00    39.682359
2025-11-18 01:00:00    54.216876
2025-11-18 05:00:00    53.571707
2025-11-18 09:00:00    46.308875
2025-11-18 13:00:00    42.445969
Name: Close, Length: 136, dtype: float64","[1.3111750185489655, 1.3296000361442566]","[1.3196499943733215, 1.3375999927520752]"
6B=F,1h,flat,"Datetime
2025-11-11 14:00:00          NaN
2025-11-11 15:00:00          NaN
2025-11-11 16:00:00          NaN
2025-11-11 17:00:00          NaN
2025-11-11 18:00:00          NaN
                         ...    
2025-11-18 10:00:00    51.428815
2025-11-18 11:00:00    40.000000
2025-11-18 12:00:00    50.602513
2025-11-18 13:00:00    50.000000
2025-11-18 14:00:00    57.143299
Name: Close, Length: 116, dtype: float64",[1.3134781159460545],[1.3204874768853188]
6B=F,15m,bearish,"Datetime
2025-11-16 23:00:00          NaN
2025-11-16 23:15:00          NaN
2025-11-16 23:30:00          NaN
2025-11-16 23:45:00          NaN
2025-11-17 00:00:00          NaN
                         ...    
2025-11-18 13:30:00    47.619678
2025-11-18 13:45:00    55.737513
2025-11-18 14:00:00    55.737513
2025-11-18 14:15:00    55.737513
2025-11-18 14:30:00    61.017497
Name: Close, Length: 155, dtype: float64",[1.315350003540516],[1.3185281530022621]
6A=F,1d,bearish,"Date
2025-05-19          NaN
2025-05-20          NaN
2025-05-21          NaN
2025-05-22          NaN
2025-05-23          NaN
                ...    
2025-11-12    54.226509
2025-11-13    52.631550
2025-11-14    46.503553
2025-11-17    35.211291
2025-11-18    37.408826
Name: Close, Length: 129, dtype: float64","[0.6452500224113464, 0.6522499918937683]","[0.6546749770641327, 0.6620000004768372]"
